segment_id,start_time,end_time,duration,segment_type
294,168.064,169.408,1.344,surrogacy
295,169.6,170.485,0.885,speech
296,170.603,171.947,1.344,surrogacy
297,172.448,172.501,0.053,speech
298,172.683,172.779,0.096,surrogacy
299,172.907,172.971,0.064,speech
300,173.12,173.205,0.085,surrogacy
301,173.344,173.408,0.064,speech
302,173.568,173.611,0.043,surrogacy
303,173.792,173.856,0.064,speech
304,174.219,174.261,0.043,surrogacy
305,174.421,174.453,0.032,speech
306,174.613,174.688,0.075,surrogacy
307,174.827,174.901,0.075,speech
308,175.04,175.125,0.085,surrogacy
309,175.264,175.317,0.053,speech
310,175.691,175.744,0.053,surrogacy
311,176.16,176.203,0.043,speech
312,176.395,176.491,0.096,surrogacy
313,176.789,176.843,0.053,speech
314,177.195,177.248,0.053,surrogacy
315,177.419,177.493,0.075,speech
316,177.632,177.675,0.043,surrogacy
317,177.835,177.877,0.043,speech
318,178.059,178.155,0.096,surrogacy
319,178.485,178.592,0.107,speech
320,182.731,183.531,0.8,surrogacy
321,183.563,183.979,0.416,speech
322,184.075,184.437,0.363,surrogacy
323,184.533,185.621,1.088,speech
324,185.717,186.069,0.352,surrogacy
325,186.133,186.699,0.565,speech
326,186.773,186.923,0.149,surrogacy
327,187.04,187.317,0.277,speech
328,187.744,187.797,0.053,surrogacy
329,187.979,188.075,0.096,speech
330,188.373,188.48,0.107,surrogacy
331,188.864,188.907,0.043,speech
332,189.077,189.163,0.085,surrogacy
333,189.291,189.333,0.043,speech
334,189.504,189.547,0.043,surrogacy
335,189.728,189.803,0.075,speech
336,189.941,190.005,0.064,surrogacy
337,190.155,190.229,0.075,speech
338,190.603,190.688,0.085,surrogacy
339,190.816,190.88,0.064,speech
340,191.029,191.072,0.043,surrogacy
341,191.253,191.317,0.064,speech
342,191.456,191.488,0.032,surrogacy
343,191.659,191.701,0.043,speech
344,191.904,191.947,0.043,surrogacy
345,192.203,192.245,0.043,speech
346,193.451,193.728,0.277,surrogacy
347,194.251,195.413,1.163,speech
348,195.499,195.819,0.32,surrogacy
349,195.893,196.981,1.088,speech
350,197.12,197.504,0.384,surrogacy
351,198.144,198.187,0.043,speech
352,198.699,198.795,0.096,surrogacy
353,199.104,199.2,0.096,speech
354,199.627,199.669,0.043,surrogacy
355,199.84,199.925,0.085,speech
356,200.085,200.117,0.032,surrogacy
357,200.277,200.32,0.043,speech
358,200.544,200.608,0.064,surrogacy
359,200.768,200.811,0.043,speech
360,201.184,201.259,0.075,surrogacy
361,201.387,201.429,0.043,speech
362,201.611,201.643,0.032,surrogacy
363,201.803,201.845,0.043,speech
364,202.027,202.069,0.043,surrogacy
365,202.475,202.528,0.053,speech
366,204.789,205.664,0.875,surrogacy
367,205.781,205.941,0.16,speech
368,206.24,206.283,0.043,surrogacy
369,206.464,206.549,0.085,speech
370,206.933,207.029,0.096,surrogacy
371,208.736,209.771,1.035,speech
372,209.867,210.091,0.224,surrogacy
373,210.379,210.421,0.043,speech
374,210.848,210.891,0.043,surrogacy
375,211.264,211.36,0.096,speech
376,213.547,214.101,0.555,surrogacy
377,214.208,214.784,0.576,speech
378,214.869,215.072,0.203,surrogacy
379,215.435,215.499,0.064,speech
380,215.627,215.669,0.043,surrogacy
381,215.861,215.925,0.064,speech
382,216.064,216.107,0.043,surrogacy
383,216.277,216.32,0.043,speech
384,216.725,216.811,0.085,surrogacy
385,218.027,218.507,0.48,speech
386,218.624,219.029,0.405,surrogacy
387,219.253,219.307,0.053,speech
388,219.477,219.563,0.085,surrogacy
389,220.533,220.565,0.032,speech
390,220.747,220.811,0.064,surrogacy
